Date,Open,High,Low,Close,Adj Close,Volume,Change
2013-04-12,29050,29350,28650,28800,25711.875,3407336,-0.69
2013-04-15,28950,29350,28700,29150,26024.3457,2715965,1.22
2013-04-16,28850,29250,28750,29100,25979.70703,3276359,-0.17
2013-04-17,29350,29400,28650,28750,25667.23438,3075896,-1.2
2013-04-18,28400,28500,27850,27900,24908.375,5206918,-2.96
2013-04-19,27900,28850,27850,28800,25711.875,3895261,3.23
2013-04-22,28800,29100,28600,29000,25890.42773,2012549,0.69
2013-04-23,29050,29050,28450,28850,25756.51367,2009817,-0.52
2013-04-24,29400,29600,29000,29100,25979.70703,4683116,0.87
2013-04-25,29650,29950,29450,29500,26336.81445,11394824,1.37
2013-04-26,29400,29750,29250,29450,26292.17383,2667806,-0.17
2013-04-29,29550,29850,29500,29550,26381.45508,2368216,0.34
2013-04-30,29850,30000,29550,29900,26693.92578,4973679,1.18
2013-05-02,29750,29850,29300,29450,26292.17383,2792031,-1.51
2013-05-03,29650,29700,29000,29550,26381.45508,3767197,0.34
2013-05-06,29700,29850,28850,28900,25801.15234,4225049,-2.2
2013-05-07,28900,28950,28400,28600,25533.32031,3154316,-1.04
2013-05-08,28900,28900,28400,28550,25488.67773,3400637,-0.17
2013-05-09,28500,29250,28500,29050,25935.06445,4575248,1.75
2013-05-10,29200,29550,29050,29100,25979.70703,4776435,0.17
2013-05-13,29000,29200,28900,29100,25979.70703,2518819,0
2013-05-14,29150,29600,29150,29500,26336.81445,2701509,1.37
2013-05-15,29550,29850,29500,29750,26560.00977,4030862,0.85
2013-05-16,29900,30200,29850,30050,26827.83984,6423610,1.01
2013-05-20,30500,30850,30300,30700,27408.14063,6958530,2.16
2013-05-21,30800,31000,30600,30600,27318.86719,5033266,-0.33
2013-05-22,30900,31600,30850,31300,27943.80664,7608286,2.29
2013-05-23,31400,32000,31250,31400,28033.08594,7512672,0.32
2013-05-24,31800,31850,31050,31400,28033.08594,3871042,0
2013-05-27,31550,31900,31400,31400,28033.08594,2849669,0
2013-05-28,31400,31650,30850,31400,28033.08594,4431590,0
2013-05-29,31700,32150,31550,32000,28568.75,4381622,1.91
2013-05-30,31850,32200,31700,31850,28434.83398,10882238,-0.47
2013-05-31,32200,32200,31750,32200,28747.30469,3870613,1.1
2013-06-03,31950,32150,31750,31900,28479.47266,3449693,-0.93
2013-06-04,32150,32450,32000,32250,28791.94531,3233657,1.1
2013-06-05,32350,32400,31150,31150,27809.89063,4570226,-3.41
2013-06-07,31650,31900,30900,31100,27765.25195,5758634,-0.16
2013-06-10,31700,32900,31600,32650,29149.05273,6709195,4.98
2013-06-11,32900,32950,32300,32500,29015.13477,3941737,-0.46
2013-06-12,32300,32700,32250,32350,28881.22266,2590486,-0.46
2013-06-13,32250,32450,31600,32050,28613.38477,6075091,-0.93
2013-06-14,32150,32250,31200,31500,28122.36133,3971095,-1.72
2013-06-17,31400,31600,30100,30450,27184.95313,6582178,-3.33
2013-06-18,30900,31750,30900,31750,28345.55664,5215736,4.27
2013-06-19,32000,32400,31550,31900,28479.47266,4438175,0.47
2013-06-20,31400,31700,30850,31050,27720.61523,4371986,-2.66
2013-06-21,30200,31000,30000,30800,27497.42188,5163521,-0.81
2013-06-24,30900,30950,29750,29750,26560.00977,4897019,-3.41
2013-06-25,29500,30300,28900,29500,26336.81445,6659713,-0.84
2013-06-26,30150,30400,29700,30250,27006.39648,5040418,2.54
2013-06-27,30900,31000,30600,30650,27363.50195,5209137,1.32
2013-06-28,30900,31200,30450,31200,27854.53125,4309458,1.79
2013-07-01,30950,31850,30850,31550,28167,4062599,1.12
2013-07-02,31500,31550,28750,28800,25711.875,21019436,-8.72
2013-07-03,29350,29800,28550,28750,25667.23438,10969350,-0.17
2013-07-04,28950,29050,28000,28750,25667.23438,9130872,0
2013-07-05,28950,29300,27950,28400,25354.76172,7983219,-1.22
